Ticker,Company_code,Company_name,Exchange,OutstandingShares,Margin,Industry_lev3,Industry_lev4,Listed_date,freeFloat,freeFloatRate,statePercentage,foreignerPercentage,maximumForeignPercentage
VVS,0104498100,Công ty Cổ phần Đầu tư Phát triển Máy Việt Nam,UPCOM,20500000,Không được ký quỹ,Bán lẻ chuyên dụng,Phân phối xe cơ giới và phụ tùng xe cơ giới,2022-10-06T17:00:00.000Z,8200000.0,0.4,0.0,0.0,0.0
XDC,0304941312,Công ty TNHH MTV Xây dựng Công trình Tân Cảng,UPCOM,8200,Không được ký quỹ,Kỹ thuật xây dựng,Xây dựng cầu đường,2022-11-30T17:00:00.000Z,900000.0,0.1,0.51,0.00023333,1.0
HSV,10659,Công ty Cổ phần Gang Thép Hà Nội,UPCOM,15749994,Không được ký quỹ,Kim loại và khai thác,Sản xuất và chế biến thép,2021-04-26T17:00:00.000Z,12599995.0,0.8,0.0,0.0031,0.5
CST,10669,Công ty Cổ phần Than Cao Sơn - TKV,UPCOM,42846773,Không được ký quỹ,Than và hoạt động liên quan,Khai thác than,2021-04-25T17:00:00.000Z,14996370.0,0.35,0.65138644,0.0366,0.48999998
BVL,10708,Công ty Cổ phần BV Land,UPCOM,57312800,Không được ký quỹ,Quản lý và Phát triển bất động sản,Đại lý và môi giới bất động sản,2021-06-10T17:00:00.000Z,5731280.0,0.1,0.0,0.0,0.49
SGI,10709,Công ty Cổ phần Đầu tư phát triển Sài Gòn 3 Group,UPCOM,75464700,Không được ký quỹ,"Hàng dệt, may và phụ kiện",Sản xuất phụ kiện và may mặc khác,2021-09-13T17:00:00.000Z,37732350.0,0.5,0.0,0.0,1.0
TOS,10729,Công ty Cổ phần Dịch vụ biển Tân Cảng,UPCOM,30999886,Không được ký quỹ,Đường biển,Hoạt động hỗ trợ vận tải đường thủy,2021-09-07T17:00:00.000Z,20149925.0,0.65,0.0,0.0,0.0
VTZ,10780,Công ty Cổ phần Sản xuất và Thương mại Nhựa Việt Thành,HNX,23000000,Được ký quỹ,Hóa chất,Sản phẩm từ nhựa,2021-11-24T17:00:00.000Z,13800000.0,0.6,0.0,0.0008,0.51
SSH,10825,Công ty Cổ phần Phát triển Sunshine Homes,UPCOM,375000000,Không được ký quỹ,Quản lý và Phát triển bất động sản,Bất động sản dân cư,2021-08-03T17:00:00.000Z,112500000.0,0.3,0.0,0.0,0.5
BCA,10847,Công ty cổ phần B.C.H,UPCOM,19000000,Không được ký quỹ,Kim loại và khai thác,Sản xuất và chế biến thép,2021-09-07T17:00:00.000Z,12350000.0,0.65,0.0,0.0,0.0
FUCTVGF3,10919,Quỹ Đầu tư Tăng trưởng Thiên Việt 3,,,Không được ký quỹ,,,,19900800.0,1.0,0.0,0.0,0.49
FUEIP100,10929,Quỹ ETF IPAAM VN100,,,Không được ký quỹ,,,,5700000.0,1.0,0.0,0.0087,1.0
GMH,10966,Công ty Cổ phần Minh Hưng Quảng Trị,HOSE,16500000,Được ký quỹ,Vật liệu xây dựng,Sản xuất xi măng,2022-01-11T17:00:00.000Z,8250000.0,0.5,0.0,0.0005,0.5
BIG,10969,Công ty cổ phần BIG Invest Group,UPCOM,5000000,Không được ký quỹ,Quản lý và Phát triển bất động sản,Bất động sản dân cư,2022-01-09T17:00:00.000Z,2750000.0,0.55,0.0,0.0005,0.49
